职位名,链接,公司,工作地点,薪资,经验,学历
数据分析师 ,https://www.zhipin.com/job_detail/1413331141.html,中软国际,武汉,8K-15K,经验不限,本科
数据分析师（风控） ,https://www.zhipin.com/job_detail/1413369190.html,成长无限网络,武汉,10K-20K,1-3年,本科
高级数据分析师-杭州 ,https://www.zhipin.com/job_detail/1413304769.html,恒生电子,杭州,10K-20K,3-5年,本科
商业化数据分析师 ,https://www.zhipin.com/job_detail/1413336006.html,美图公司,北京,15K-30K,经验不限,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413309774.html,中催联,西安,4K-5K,1年以内,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413299269.html,龙凤新天地购物广场,呼伦贝尔,3K-4K,1年以内,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413322125.html,中商惠民,北京,8K-15K,3-5年,本科
数据分析/销售助理 ,https://www.zhipin.com/job_detail/1413334096.html,康诺邦,杭州,4K-6K,经验不限,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413268451.html,海明控股,杭州,7K-10K,1-3年,本科
数据分析 ,https://www.zhipin.com/job_detail/1413197816.html,大连集杰科技,大连,3K-4K,1-3年,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413392736.html,卡车之家,北京,10K-20K,1年以内,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413256028.html,浙江执御,杭州,10K-15K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413348035.html,PLAY800,广州,4K-5K,应届生,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413392340.html,时代大数据,茂名,6K-10K,1年以内,硕士
资深数据分析工程师 ,https://www.zhipin.com/job_detail/1413337238.html,多有米,深圳,30K-60K,3-5年,博士
高级数据分析员（EDB） ,https://www.zhipin.com/job_detail/1413297563.html,南京万得,南京,4K-8K,经验不限,本科
资深数据分析工程师 ,https://www.zhipin.com/job_detail/1413367411.html,钱包金服,北京,35K-45K,5-10年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413343472.html,联众同行,北京,8K-15K,3-5年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413392200.html,莱博特尔,西安,12K-20K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413222621.html,京东到家,北京,15K-25K,3-5年,本科
数据库工程师（偏数据分析） ,https://www.zhipin.com/job_detail/1413320662.html,零壹财经,武汉,5K-7K,1-3年,本科
