,职位名,链接,公司,工作地点,薪资,经验,学历,工作地点(城市),薪资(统一月薪元)
1112,投资数据分析专员/投资事务助理,http://jobs.51job.com/chongqing/81586974.html?s=01&t=0,重庆道微投资管理有限公司,重庆,4.5-6千/月,,本科,重庆,5250.0
1113,数据分析专员,http://jobs.51job.com/fuzhou/78340819.html?s=01&t=0,福建勒朗国际贸易有限公司,福州,4-6千/月,1年经验,大专,福州,5000.0
1114,数据分析师,http://jobs.51job.com/beijing-cyq/91340622.html?s=01&t=0,霖赞（上海）企业管理咨询有限公司,北京-朝阳区,1-1.5万/月,8-9年经验,本科,北京,12500.0
1115,数据分析经理,http://jobs.51job.com/shenzhen/88707943.html?s=01&t=0,华润怡宝饮料（中国）有限公司,深圳,1-1.5万/月,5-7年经验,大专,深圳,12500.0
1116,数据分析师,http://jobs.51job.com/shanghai-xhq/91074042.html?s=01&t=0,上海淳粹文化传媒有限公司,上海-徐汇区,4.5-6千/月,2年经验,大专,上海,5250.0
1117,物流数据分析师,http://jobs.51job.com/chengdu-jjq/92329800.html?s=01&t=0,四川绿田元生电子商务有限公司,成都-锦江区,4.5-6千/月,3-4年经验,,成都,5250.0
1118,数据分析（可接收应届毕业生）,http://jobs.51job.com/qingdao-sbq/89283594.html?s=01&t=0,青岛中青鸟软件科技有限公司,青岛-市北区,2.5-5千/月,无工作经验,大专,青岛,3750.0
1119,天津康哲  数据分析专员,http://jobs.51job.com/tianjin-hxq/74588710.html?s=01&t=0,深圳市康哲药业有限公司,天津-河西区,2-3千/月,,,天津,2500.0
1120,高级数据分析专员,http://jobs.51job.com/guangzhou-pyq/85579731.html?s=01&t=0,云科国际投资管理有限公司,广州-番禺区,6-8千/月,,本科,广州,7000.0
1121,BI 高级数据产品经理 高级数据分析产品经理,http://jobs.51job.com/beijing-cyq/84495547.html?s=01&t=0,悠易互通（北京）广告有限公司,北京-朝阳区,1.5-3万/月,5-7年经验,本科,北京,22500.0
1122,数据分析主管,http://jobs.51job.com/guangzhou-hdq/90259066.html?s=01&t=0,广州市从一到九电子商务有限公司,广州-花都区,0.8-1.5万/月,,,广州,11500.0
1123,高级数据分析师（BI）,http://jobs.51job.com/hangzhou-xcq/90558279.html?s=01&t=0,杭州龙盈科技有限公司,杭州-下城区,1.5-3万/月,3-4年经验,本科,杭州,22500.0
1124,汽车行业数据分析师,http://jobs.51job.com/shanghai-cnq/90421493.html?s=01&t=0,时代嘉道企业机构,上海-长宁区,0.6-1万/月,3-4年经验,本科,上海,8000.0
1125,数据分析经理,http://jobs.51job.com/shenzhen/89514032.html?s=01&t=0,深圳市戴瑞珠宝有限公司,深圳,1.5-2.5万/月,5-7年经验,大专,深圳,20000.0
1126,数据分析经理,http://jobs.51job.com/shanghai-ptq/92334790.html?s=01&t=0,上海涂酷化妆品有限公司,上海-普陀区,6-8千/月,1年经验,,上海,7000.0
1127,数据分析专员,http://jobs.51job.com/beijing-cyq/91343514.html?s=01&t=0,北京沐屿科技发展有限公司,北京-朝阳区,5-8千/月,,,北京,6500.0
1128,数据分析师,http://jobs.51job.com/guangzhou/68797173.html?s=01&t=0,广州市晶灵宝石有限公司,广州,4.5-6千/月,,,广州,5250.0
1129,急招大数据分析助理/实习生六险一金+可无经验,http://jobs.51job.com/dalian-gxyq/87084658.html?s=01&t=0,大连中软卓越信息技术有限公司,大连-高新园区,3-4.5千/月,,中专,大连,3750.0
1130,运营数据分析师,http://jobs.51job.com/beijing-cyq/73768036.html?s=01&t=0,家有购物集团股份有限公司,北京-朝阳区,0.8-1万/月,5-7年经验,本科,北京,9000.0
1131,数据分析师,http://jobs.51job.com/hangzhou/90766585.html?s=01&t=0,杭州枫灼网络科技有限公司,杭州,1-3万/月,,,杭州,20000.0
1132,数据分析师,http://jobs.51job.com/changsha-yhq/88908252.html?s=01&t=0,湖南荟业电子商务有限公司,长沙-雨花区,4-6千/月,,本科,长沙,5000.0
1133,大数据分析师,http://jobs.51job.com/hangzhou-xsq/92041343.html?s=01&t=0,浙江惠瀜网络科技有限公司,杭州-萧山区,1-1.5万/月,3-4年经验,本科,杭州,12500.0
1134,数据分析师,http://jobs.51job.com/shanghai/89097451.html?s=01&t=0,锐嘉科集团,上海,0.8-2万/月,,本科,上海,14000.0
1135,数据分析员（工作地：广州白云区）,http://jobs.51job.com/guangzhou-byq/91630092.html?s=01&t=0,深圳市森广源实业发展有限公司,广州-白云区,3.5-4.5千/月,无工作经验,大专,广州,4000.0
1136,销售资讯专员（数据分析）,http://jobs.51job.com/changsha/79108251.html?s=01&t=0,湖南中粮可口可乐饮料有限公司,长沙,3-4.5千/月,,本科,长沙,3750.0
1137,数据分析专员,http://jobs.51job.com/shenzhen-nsq/89340798.html?s=01&t=0,深圳市沃特沃德股份有限公司,深圳-南山区,5-7千/月,,,深圳,6000.0
1138,商品数据分析,http://jobs.51job.com/kunming-plq/83841532.html?s=01&t=0,云南快人快语贸易有限公司,昆明-盘龙区,3-6千/月,5-7年经验,大专,昆明,4500.0
1139,数据分析专家（信贷风控建模）,http://jobs.51job.com/shanghai-pdxq/89245438.html?s=01&t=0,宝付网络科技（上海）有限公司,上海-浦东新区,2-4万/月,5-7年经验,,上海,30000.0
1140,数据分析师（BI）,http://jobs.51job.com/beijing/62910885.html?s=01&t=0,北京凯奇谷信息技术股份有限公司,北京,0.8-1万/月,1年经验,本科,北京,9000.0
1141,资深数据分析师,http://jobs.51job.com/shenzhen-nsq/92444851.html?s=01&t=0,上海燕致网络科技有限公司深圳分公司,深圳-南山区,1.5-2万/月,3-4年经验,本科,深圳,17500.0
1142,运营数据分析师,http://jobs.51job.com/kunshan/78820723.html?s=01&t=0,苏州中德宏泰电子科技股份有限公司,昆山,0.8-1万/月,,,昆山,9000.0
1143,急招大数据分析助理/实习生六险一金+可无经验,http://jobs.51job.com/dalian-gxyq/87349265.html?s=01&t=0,大连淘车网络科技有限公司,大连-高新园区,3-4.5千/月,,中专,大连,3750.0
1144,数据分析专员,http://jobs.51job.com/haining/81302094.html?s=01&t=0,安正时尚集团股份有限公司,海宁,4-6千/月,3-4年经验,大专,海宁,5000.0
1145,某知名外企数据分析专员,http://jobs.51job.com/shanghai/83526779.html?s=01&t=0,万宝盛华企业管理咨询（上海）有限公司,上海,6-8千/月,,大专,上海,7000.0
1146,销售数据分析,http://jobs.51job.com/guangzhou-thq/90863445.html?s=01&t=0,广东朝太阳生物科技有限公司,广州-天河区,5-6.5千/月,,大专,广州,5750.0
1147,数据分析专员,http://jobs.51job.com/shanghai-mhq/86925562.html?s=01&t=0,上海友康信息科技有限公司,上海-闵行区,3.5-4.5千/月,,,上海,4000.0
1148,数据分析员,http://jobs.51job.com/guangzhou-byq/84865386.html?s=01&t=0,广州市腾昶贸易有限公司,广州-白云区,6-8千/月,3-4年经验,,广州,7000.0
1149,BI数据分析师,http://jobs.51job.com/shanghai-jaq/83946152.html?s=01&t=0,上海汇银（集团）有限公司,上海-静安区,0.8-1.5万/月,,,上海,11500.0
1150,资深数据分析师,http://jobs.51job.com/hangzhou/83993304.html?s=01&t=0,观澜网络(杭州)有限公司--丁香园,杭州,1-2万/月,,,杭州,15000.0
1151,数据分析员,http://jobs.51job.com/suzhou/79867693.html?s=01&t=0,苏州喜宫文化发展有限公司,苏州,3-4.5千/月,1年经验,本科,苏州,3750.0
1152,产品数据分析助理,http://jobs.51job.com/beijing/62822776.html?s=01&t=0,北京中怡康时代市场研究有限公司,北京,5-6万/年,1年经验,大专,北京,4583.0
1153,数据分析师,http://jobs.51job.com/nanjing-jnq/92442254.html?s=01&t=0,南京四象新能源科技有限公司,南京-江宁区,1-1.5万/月,,本科,南京,12500.0
1154,数据分析师,http://jobs.51job.com/guangzhou-yxq/91670845.html?s=01&t=0,上海宝供公路快运有限公司,广州-越秀区,0.8-1万/月,3-4年经验,,广州,9000.0
