,职位名,链接,公司,工作地点,薪资,经验,学历,工作地点(城市),薪资(统一月薪元)
0,数据分析助理+实习亦可/双休,http://jobs.51job.com/xiamen/90474871.html?s=01&t=0,福建劲祯网络科技有限公司,厦门,3.5-4.5千/月,,大专,厦门,4000.0
1,数据分析售前顾问,http://jobs.51job.com/guangzhou/91688065.html?s=01&t=0,电讯盈科企业方案,广州,18-36万/年,,,广州,22500.0
2,数据分析专员,http://jobs.51job.com/guangzhou-yxq/90347443.html?s=01&t=0,以纯集团电子商务总部,广州-越秀区,4-6千/月,1年经验,本科,广州,5000.0
3,数据分析师（8k，有sas经验）,http://jobs.51job.com/fuzhou-csq/92556652.html?s=01&t=0,上海几姆教育科技有限公司,福州-仓山区,0.8-1万/月,3-4年经验,本科,福州,9000.0
4,Equity Data Analyst/ 股票数据分析员,http://jobs.51job.com/shenzhen-ftq/86387062.html?s=01&t=0,晨星资讯（深圳）有限公司,深圳-福田区,5-7千/月,,本科,深圳,6000.0
5,诚招初级证券数据分析师,http://jobs.51job.com/shenzhen-nsq/89247675.html?s=01&t=0,深圳市摩顿大投投资发展有限公司,深圳-南山区,6-8千/月,无工作经验,大专,深圳,7000.0
6,17759-高级数据分析师（北京）,http://jobs.51job.com/beijing/92515983.html?s=01&t=0,深圳市腾讯计算机系统有限公司,北京,,5-7年经验,本科,北京,
7,电商数据分析专员 可培养 （五险双休）,http://jobs.51job.com/nanjing/92556073.html?s=01&t=0,南京瑾慕信息技术有限公司,南京,4.5-6千/月,,大专,南京,5250.0
8,高级数据分析师,http://jobs.51job.com/shenzhen/92555431.html?s=01&t=0,深圳市同致行物业顾问有限公司,深圳,0.8-1.2万/月,1年经验,本科,深圳,10000.0
9,CRM数据分析员（TRENDIANO品牌）,http://jobs.51job.com/guangzhou-thq/92555639.html?s=01&t=0,赫基国际集团－TRENDIANO事业部,广州-天河区,6-8千/月,1年经验,大专,广州,7000.0
10,数据分析主管,http://jobs.51job.com/guangzhou-thq/89221733.html?s=01&t=0,广州迪柯尼服饰股份有限公司,广州-天河区,0.8-1万/月,5-7年经验,,广州,9000.0
11,证券外汇数据分析师/资金管理师,http://jobs.51job.com/beijing-cyq/92553416.html?s=01&t=0,兰德威尔（北京）资产管理有限公司,北京-朝阳区,3-4.5万/月,3-4年经验,本科,北京,37500.0
12,数据分析员,http://jobs.51job.com/changsha/92548797.html?s=01&t=0,湖南家边购实业有限公司,长沙,3-4.5千/月,2年经验,大专,长沙,3750.0
13,数据分析员 分析专员,http://jobs.51job.com/nanjing/86133216.html?s=01&t=0,南京惠顺诺宁信息科技有限公司,南京,3-4.5千/月,,大专,南京,3750.0
14,数据分析师,http://jobs.51job.com/guangzhou-pyq/85239111.html?s=01&t=0,广州市启尔智企业管理有限公司,广州-番禺区,10-20万/年,3-4年经验,本科,广州,12500.0
15,大数据分析师,http://jobs.51job.com/qingdao-hdq/92552292.html?s=01&t=0,青岛东软睿道教育信息技术有限公司,青岛-黄岛区,4-6千/月,,大专,青岛,5000.0
16,高级数据分析主管,http://jobs.51job.com/shanghai-jdq/87132231.html?s=01&t=0,环球车享汽车租赁有限公司,上海-嘉定区,20-30万/年,3-4年经验,,上海,20833.0
17,数据分析专员(J10617),http://jobs.51job.com/beijing-cyq/85653736.html?s=01&t=0,方正宽带网络服务有限公司,北京-朝阳区,4.5-6千/月,,,北京,5250.0
18,数据分析,http://jobs.51job.com/shanghai-zbq/70937529.html?s=01&t=0,上海达尔威贸易有限公司,上海-闸北区,6-8千/月,,大专,上海,7000.0
19,BI数据分析师-上海,http://jobs.51job.com/shanghai-hkq/92553464.html?s=01&t=0,上海途逸公寓管理有限公司,上海-虹口区,1.5-2.5万/月,5-7年经验,,上海,20000.0
20,数据分析师,http://jobs.51job.com/nanjing-glq/92191366.html?s=01&t=0,江苏中堃数据技术有限公司,南京-鼓楼区,1-2万/月,2年经验,本科,南京,15000.0
21,链家研究院数据分析师,http://jobs.51job.com/nanjing-glq/92553018.html?s=01&t=0,南京链家房地产经纪有限公司,南京-鼓楼区,0.5-1万/月,1年经验,硕士,南京,7500.0
22,银行数据分析类项目经理,http://jobs.51job.com/beijing-hdq/92553477.html?s=01&t=0,北京亿信华辰软件有限责任公司,北京-海淀区,1-2万/月,,本科,北京,15000.0
23,数据分析师,http://jobs.51job.com/beijing/92551801.html?s=01&t=0,汽车之家,北京,2.5-3万/月,5-7年经验,本科,北京,27500.0
24,数据分析师,http://jobs.51job.com/shenzhen-nsq/88815513.html?s=01&t=0,深圳联合金控风险资产管理有限公司,深圳-南山区,6-8千/月,3-4年经验,,深圳,7000.0
25,高薪诚聘优秀数据分析员 双休五险一金,http://jobs.51job.com/beijing/92550343.html?s=01&t=0,华壹信融投资管理（北京）有限责任公司,北京,0.8-1万/月,,大专,北京,9000.0
26,商品专员/商品管理/商品数据分析,http://jobs.51job.com/shanghai/92407486.html?s=01&t=0,上海佳奥贸易有限公司,上海,6-8千/月,,,上海,7000.0
27,数据分析经理,http://jobs.51job.com/guangzhou-thq/82235351.html?s=01&t=0,广州交通集团有限公司,广州-天河区,6-12万/年,2年经验,本科,广州,7500.0
28,4G网络数据分析实习,http://jobs.51job.com/chengdu-jjq/92552506.html?s=01&t=0,北京优才众创管理咨询合伙企业（有限合伙）,成都-锦江区,4.5-6千/月,无工作经验,高中,成都,5250.0
29,数据分析专员/销售助理,http://jobs.51job.com/xian-blq/92552471.html?s=01&t=0,陕西暖吉通商务有限公司,西安-碑林区,3-4.5千/月,,,西安,3750.0
30,销售数据分析,http://jobs.51job.com/guangzhou/92552498.html?s=01&t=0,安踏南区分销商管理中心广州安大公司,广州,4.5-6千/月,1年经验,大专,广州,5250.0
31,气象预报及观测数据分析专员,http://jobs.51job.com/beijing-cyq/92552663.html?s=01&t=0,北京华泰德丰技术有限公司,北京-朝阳区,6-8千/月,1年经验,本科,北京,7000.0
32,数据分析实习,http://jobs.51job.com/shanghai/82270690.html?s=01&t=0,上海申美饮料食品有限公司,上海,3-4.5千/月,无工作经验,大专,上海,3750.0
33,人力数据分析,http://jobs.51job.com/nanjing/91911423.html?s=01&t=0,南京链家房地产经纪有限公司,南京,4.5-6千/月,,本科,南京,5250.0
34,销售数据分析,http://jobs.51job.com/zhengzhou-jkq/92551219.html?s=01&t=0,河南灵狗网络科技有限公司,郑州-经开区,4.5-6千/月,,大专,郑州,5250.0
35,搜索数据分析师,http://jobs.51job.com/hangzhou/92551013.html?s=01&t=0,浙江核新同花顺网络信息股份有限公司,杭州,1-2万/月,,,杭州,15000.0
36,采购（偏数据分析）,http://jobs.51job.com/shenzhen-lhxq/80405591.html?s=01&t=0,深圳市新一洲贸易有限公司,深圳-龙华新区,5-8千/月,3-4年经验,大专,深圳,6500.0
37,数据分析（呼叫中心）J10191,http://jobs.51job.com/beijing/91951596.html?s=01&t=0,北京环球国广媒体科技有限公司,北京,0.8-1万/月,,本科,北京,9000.0
38,诚聘数据分析专员,http://jobs.51job.com/changsha-frq/75323140.html?s=01&t=0,号百商旅电子商务有限公司湖南省分公司,长沙-芙蓉区,4.5-6千/月,1年经验,本科,长沙,5250.0
39,数据分析师,http://jobs.51job.com/shanghai-pdxq/89556212.html?s=01&t=0,达信财富投资管理（上海）有限公司,上海-浦东新区,5-8千/月,1年经验,,上海,6500.0
40,运营工程师（数据分析方向）,http://jobs.51job.com/beijing-hdq/89580411.html?s=01&t=0,北京中广瑞波科技股份有限公司,北京-海淀区,6-7千/月,1年经验,本科,北京,6500.0
41,数据分析员（可带薪实习）,http://jobs.51job.com/changchun/92545670.html?s=01&t=0,长春力凡景创科技有限公司,长春,3-4.5千/月,,大专,长春,3750.0
42,数据中心 数据分析岗,http://jobs.51job.com/shanghai-hpq/92550523.html?s=01&t=0,上海梓熠母婴用品有限公司,上海-黄浦区,2.5-3万/月,5-7年经验,本科,上海,27500.0
43,数据分析师 应届生亦可170807,http://jobs.51job.com/shanghai-xhq/92550528.html?s=01&t=0,上海航傲信息科技有限公司,上海-徐汇区,6-8千/月,,,上海,7000.0
44,财务数据分析,http://jobs.51job.com/shanghai-pdxq/92550368.html?s=01&t=0,上海维音信息技术股份有限公司,上海-浦东新区,0.8-1.5万/月,3-4年经验,,上海,11500.0
45,数据专员/数据分析员,http://jobs.51job.com/guangzhou-thq/82650307.html?s=01&t=0,广州亿加网络科技有限公司,广州-天河区,3-4.5千/月,,,广州,3750.0
46,数据分析师,http://jobs.51job.com/shenzhen-baq/89631903.html?s=01&t=0,深圳市艾联创新科技有限公司,深圳-宝安区,4.5-6千/月,无工作经验,大专,深圳,5250.0
47,数据分析专员（双休 15-17薪）,http://jobs.51job.com/shenzhen-ftq/92547127.html?s=01&t=0,深圳自如友家资产管理有限公司,深圳-福田区,6-8千/月,,,深圳,7000.0
48,数据分析师,http://jobs.51job.com/hangzhou/92403971.html?s=01&t=0,杭州码圈网络科技有限公司,杭州,4.5-6千/月,,大专,杭州,5250.0
49,数据分析师,http://jobs.51job.com/shanghai-cnq/86406729.html?s=01&t=0,上海赤耳科技有限公司,上海-长宁区,1-2万/月,2年经验,大专,上海,15000.0
50,商品计划主管/商品数据分析,http://jobs.51job.com/nanchang-hgt/83122154.html?s=01&t=0,南昌市凤尚服饰有限公司,南昌-红谷滩新区,3.5-7千/月,2年经验,大专,南昌,5250.0
51,韦博总部数据分析主管,http://jobs.51job.com/shanghai-xhq/91263035.html?s=01&t=0,韦博教育集团总部,上海-徐汇区,0.8-1万/月,3-4年经验,大专,上海,9000.0
52,商品专员 数据分析,http://jobs.51job.com/nanjing-jnq/92216014.html?s=01&t=0,南京森鹿皮件服饰有限公司,南京-江宁区,4.5-6千/月,,,南京,5250.0
53,数据分析师,http://jobs.51job.com/wenzhou/84424664.html?s=01&t=0,浙江国技互联信息技术有限公司,温州,4-8千/月,,大专,温州,6000.0
54,数据部经理/数据分析师,http://jobs.51job.com/fuzhou-tjq/91472381.html?s=01&t=0,福建小微时贷科技发展有限公司,福州-台江区,0.8-1.2万/月,,本科,福州,10000.0
55,大气数据分析师,http://jobs.51job.com/beijing-hdq/91673925.html?s=01&t=0,北京伟瑞迪科技有限公司,北京-海淀区,0.8-1.5万/月,,本科,北京,11500.0
56,运营（数据分析）,http://jobs.51job.com/chengdu-gxq/81826993.html?s=01&t=0,四川微然科技有限公司,成都-高新区,0.8-1.2万/月,,本科,成都,10000.0
57,大数据分析工程师,http://jobs.51job.com/xian-gxjs/82980879.html?s=01&t=0,西安盈谷网络科技有限公司,西安-高新技术...,0.6-1.2万/月,3-4年经验,本科,西安,9000.0
58,数据分析员（医学检验领域）--代招,http://jobs.51job.com/nanjing-jnq/84470445.html?s=01&t=0,东南大学—南京生物材料与医疗器械研究所,南京-江宁区,4-8千/月,3-4年经验,本科,南京,6000.0
59,行政（数据分析专员）,http://jobs.51job.com/shanghai/87782060.html?s=01&t=0,一嗨租车有限公司,上海,,,大专,上海,
60,地产数据分析师,http://jobs.51job.com/nanjing-jnq/91286149.html?s=01&t=0,江苏智德商业旅游发展有限公司,南京-江宁区,0.6-1.5万/月,,,南京,10500.0
61,数据分析专员 销售助理,http://jobs.51job.com/hangzhou-bjq/91929154.html?s=01&t=0,浙江集商优选电子商务有限公司,杭州-滨江区,6-8千/月,3-4年经验,大专,杭州,7000.0
62,数据分析师,http://jobs.51job.com/shanghai-cnq/89012630.html?s=01&t=0,灿福信息科技,上海-长宁区,1.5-2.5万/月,5-7年经验,本科,上海,20000.0
63,数据分析师,http://jobs.51job.com/shanghai-pdxq/90140736.html?s=01&t=0,上海磐润置业有限公司,上海-浦东新区,6-8千/月,,本科,上海,7000.0
64,大数据分析工程师,http://jobs.51job.com/dalian-gxyq/87638630.html?s=01&t=0,甲骨文WDP （大连）授权实训中心,大连-高新园区,6-8千/月,,大专,大连,7000.0
65,数据分析员,http://jobs.51job.com/fuzhou-tjq/75453056.html?s=01&t=0,福州九九九服饰有限公司,福州-台江区,3-4千/月,,,福州,3500.0
66,数据分析员,http://jobs.51job.com/shanghai-jdq/84495792.html?s=01&t=0,内蒙古伊利实业集团股份有限公司,上海-嘉定区,4.5-6千/月,1年经验,大专,上海,5250.0
67,数据分析工程师,http://jobs.51job.com/shanghai-cnq/91677672.html?s=01&t=0,唯智信息技术（上海）股份有限公司,上海-长宁区,1-1.5万/月,,,上海,12500.0
68,SEM专员（数据分析+成本预算+竞价推广）,http://jobs.51job.com/shenzhen-lhq/88385845.html?s=01&t=0,深圳市盛世明德教育管理有限公司,深圳-罗湖区,6-8千/月,1年经验,大专,深圳,7000.0
69,数据分析师,http://jobs.51job.com/guangzhou/88952597.html?s=01&t=0,佳都新太科技股份有限公司,广州,1-1.5万/月,,,广州,12500.0
70,数据分析师,http://jobs.51job.com/chengdu/92403970.html?s=01&t=0,成都市移动互联网协会,成都,4-6千/月,1年经验,,成都,5000.0
71,市场研究经理/数据分析经理,http://jobs.51job.com/dalian-gxyq/88017437.html?s=01&t=0,大连东软控股有限公司,大连-高新园区,1-2万/月,3-4年经验,,大连,15000.0
72,数据分析工程师,http://jobs.51job.com/nanjing/77915209.html?s=01&t=0,海能达南京研发中心,南京,0.8-2万/月,,,南京,14000.0
73,数据分析师,http://jobs.51job.com/wuhan-jxq/86592436.html?s=01&t=0,武汉合创鼎联科技有限公司,武汉-江夏区,4.5-6千/月,3-4年经验,硕士,武汉,5250.0
74,大数据分析测试工程师,http://jobs.51job.com/shanghai-xhq/91816002.html?s=01&t=0,上海六界信息技术有限公司,上海-徐汇区,0.8-1.5万/月,3-4年经验,本科,上海,11500.0
75,数据分析师--掌厅,http://jobs.51job.com/nanjing/89115261.html?s=01&t=0,中国电信股份有限公司江苏电子渠道运营中心,南京,0.6-1万/月,,本科,南京,8000.0
76,数据运营专员/数据统筹/数据分析,http://jobs.51job.com/jinan-lxq/87543978.html?s=01&t=0,济南忠卓信息技术有限公司,济南-历下区,3-4.5千/月,无工作经验,大专,济南,3750.0
77,数据分析员,http://jobs.51job.com/guiyang/89551401.html?s=01&t=0,店商互联（北京）科技发展有限公司,贵阳,2-4千/月,,,贵阳,3000.0
78,报告/数据分析师（品牌/媒体公关方向）,http://jobs.51job.com/nanjing-qhq/83997768.html?s=01&t=0,慧科讯业(北京)网络科技有限公司南京分公司,南京-秦淮区,4.5-6千/月,3-4年经验,本科,南京,5250.0
79,数据分析师,http://jobs.51job.com/shanghai-pdxq/91743987.html?s=01&t=0,上海盐商网络科技有限公司,上海-浦东新区,0.8-1万/月,1年经验,硕士,上海,9000.0
80,数据分析师,http://jobs.51job.com/shenzhen/70437840.html?s=01&t=0,深圳诗普琳珠宝有限公司,深圳,0.8-1万/月,,,深圳,9000.0
81,高级数据分析师,http://jobs.51job.com/shanghai/69416975.html?s=01&t=0,上海链家,上海,,3-4年经验,本科,上海,
82,数据分析主管,http://jobs.51job.com/kunming-xsq/86713862.html?s=01&t=0,云南省国有资本运营商城管理有限公司,昆明-西山区,0.8-1万/月,3-4年经验,大专,昆明,9000.0
83,数据分析工程师,http://jobs.51job.com/shenzhen/74516789.html?s=01&t=0,比亚迪股份有限公司,深圳,6-8千/月,2年经验,本科,深圳,7000.0
84,数据分析师,http://jobs.51job.com/shanghai-jaq/68392447.html?s=01&t=0,上海动西网络科技有限公司,上海-静安区,,,,上海,
85,数据分析专员/主管（SPD）,http://jobs.51job.com/shanghai-cnq/89973614.html?s=01&t=0,国药控股菱商医院管理服务（上海）有限公司,上海-长宁区,,3-4年经验,大专,上海,
86,临床数据分析员,http://jobs.51job.com/beijing-xcq/91629096.html?s=01&t=0,北京市捷瑞嘉科技有限责任公司,北京-西城区,4-6千/月,,本科,北京,5000.0
87,数据分析师（财务顾问或财务bi优先）,http://jobs.51job.com/shanghai-jaq/86635220.html?s=01&t=0,上海链家,上海-静安区,,,本科,上海,
88,数据分析员,http://jobs.51job.com/shenzhen-ftq/80189858.html?s=01&t=0,广东太古可口可乐有限公司,深圳-福田区,4.5-6千/月,1年经验,大专,深圳,5250.0
89,数据分析师,http://jobs.51job.com/shenzhen/90610474.html?s=01&t=0,深圳智慧园区信息技术有限公司,深圳,1-2万/月,3-4年经验,本科,深圳,15000.0
90,数据分析师（财务经验优先）,http://jobs.51job.com/suzhou/86630801.html?s=01&t=0,上海动西网络科技有限公司,苏州,,,,苏州,
91,数据分析师,http://jobs.51job.com/guangzhou/82760102.html?s=01&t=0,广东智源信息技术有限公司,广州,4-8千/月,1年经验,本科,广州,6000.0
92,金融数据分析员/接受应届毕业生实习,http://jobs.51job.com/shanghai-hpq/88193070.html?s=01&t=0,上海联和金融信息服务有限公司,上海-黄浦区,4.5-6千/月,,本科,上海,5250.0
93,数据分析主管-广州,http://jobs.51job.com/guangzhou-thq/90798671.html?s=01&t=0,深圳万威科技有限公司,异地招聘,1-1.5万/月,5-7年经验,本科,异地招聘,12500.0
94,数据分析专家,http://zjtlcb.51job.com/sc/show_job_detail.php?jobid=90534614,浙江泰隆商业银行股份有限公司,杭州-上城区,1.5-2万/月,,,杭州,17500.0
95,数据分析师,http://jobs.51job.com/hangzhou/90705161.html?s=01&t=0,浙江融邦投资管理有限公司,杭州,6-8千/月,2年经验,,杭州,7000.0
96,销售数据分析,http://jobs.51job.com/dongguan-hm/90252495.html?s=01&t=0,东莞市路西米儿制衣有限公司,东莞-虎门镇,6-8千/月,3-4年经验,大专,东莞,7000.0
97,数据分析员/站外营销,http://jobs.51job.com/shenzhen-lhxq/91163995.html?s=01&t=0,深圳市芸丰泽电子有限公司,深圳-龙华新区,3.5-4.9千/月,,大专,深圳,4200.0
98,物流供应链数据分析,http://jobs.51job.com/shanghai-pdxq/90564463.html?s=01&t=0,"中外运空运发展股份有限公司华东分公司 Sinotrans Air Transportation Development Co.,Ltd.(East)",上海-浦东新区,6-8千/月,1年经验,本科,上海,7000.0
99,数据分析师,http://jobs.51job.com/shanghai-qpq/83120359.html?s=01&t=0,上海车趣信息科技有限公司,上海-青浦区,1-1.5万/月,2年经验,本科,上海,12500.0
100,数据分析经理（电商）,http://jobs.51job.com/shanghai/82646544.html?s=01&t=0,上海点正信息咨询有限公司,上海,1.5-2.5万/月,3-4年经验,本科,上海,20000.0
101,数据分析专员4k+六险二金（接受应届生实习）,http://jobs.51job.com/chengdu-gxq/88651151.html?s=01&t=0,成都砰砰网络科技有限责任公司,成都-高新区,4-6千/月,无工作经验,大专,成都,5000.0
102,市场数据分析,http://jobs.51job.com/guangzhou/71077211.html?s=01&t=0,广州美童教育信息咨询有限公司,广州,3-4.5千/月,,,广州,3750.0
103,数据分析专员,http://jobs.51job.com/shenzhen-ftq/88460884.html?s=01&t=0,深圳市天长地久文化产业股份有限公司,深圳-福田区,6-8千/月,1年经验,大专,深圳,7000.0
104,数据分析师,http://jobs.51job.com/guangzhou/86176153.html?s=01&t=0,广州骏伯网络科技股份有限公司,广州,6-8千/月,,,广州,7000.0
105,大数据分析师,http://jobs.51job.com/shenzhen-nsq/90225517.html?s=01&t=0,深圳米橙科技有限公司,深圳-南山区,1-1.5万/月,,本科,深圳,12500.0
106,数据分析决策支持（BI）,http://jobs.51job.com/hangzhou-xhq/88432046.html?s=01&t=0,杭州点望科技有限公司,杭州-西湖区,0.5-1万/月,,,杭州,7500.0
107,数据采集/数据分析,http://jobs.51job.com/wuhan-jaq/87938974.html?s=01&t=0,武汉武房网信息服务有限公司,武汉-江岸区,3-4.5千/月,无工作经验,,武汉,3750.0
108,健康数据分析师,http://jobs.51job.com/beijing-dcq/86460163.html?s=01&t=0,维极科技有限责任公司,北京-东城区,0.8-1万/月,,本科,北京,9000.0
109,商品数据分析员,http://jobs.51job.com/guangzhou/86252548.html?s=01&t=0,广东海华实业投资有限公司（金利来时尚休闲）,广州,4-5万/年,,,广州,3750.0
110,运营数据分析,http://jobs.51job.com/guangzhou/83964404.html?s=01&t=0,广州九月网络科技股份有限公司,广州,4.5-6千/月,3-4年经验,,广州,5250.0
111,户外库存管理（数据分析）,http://jobs.51job.com/fuzhou/91595739.html?s=01&t=0,百美（福州）贸易有限公司,福州,3-6千/月,,大专,福州,4500.0
112,客服专员（数据分析）,http://jobs.51job.com/xian/89049232.html?s=01&t=0,新城控股集团房地产开发有限公司西安公司,西安,10-15万/年,3-4年经验,本科,西安,10417.0
113,数据分析师,http://jobs.51job.com/beijing-hdq/91615557.html?s=01&t=0,北京立思辰科技股份有限公司,北京-海淀区,1-1.5万/月,3-4年经验,本科,北京,12500.0
114,经营数据分析专员,http://jobs.51job.com/chengdu-gxq/90727334.html?s=01&t=0,四川琦彩科技有限公司,成都-高新区,4-7千/月,,,成都,5500.0
115,用户调研（数据分析主管）,http://jobs.51job.com/dongguan-ncq/92185790.html?s=01&t=0,团贷网,异地招聘,1.8-2.5万/月,,,异地招聘,21500.0
116,人事专员 数据分析 六险二金,http://jobs.51job.com/shanghai/92161651.html?s=01&t=0,平安普惠投资咨询有限公司上海第一分公司,上海,4.5-6千/月,,大专,上海,5250.0
117,网站数据分析师,http://jobs.51job.com/shanghai-pdxq/56467488.html?s=01&t=0,上海载和网络科技有限公司,上海-浦东新区,0.8-1万/月,1年经验,本科,上海,9000.0
118,商品规划师/商品计划师/数据分析,http://jobs.51job.com/ningbo/92337285.html?s=01&t=0,宁波维科鸭鸭商贸有限公司,宁波,4.5-6千/月,,,宁波,5250.0
119,资金数据分析专员,http://jobs.51job.com/suzhou/86111003.html?s=01&t=0,维信集团苏州总部,苏州,4.5-6千/月,1年经验,本科,苏州,5250.0
120,网站数据分析员/网站运营专员,http://jobs.51job.com/shanghai-jaq/91583002.html?s=01&t=0,聚思鸿信息技术服务Concentrix,上海-静安区,6-8千/月,5-7年经验,本科,上海,7000.0
121,数据分析,http://jobs.51job.com/suzhou/81370660.html?s=01&t=0,苏州广华地产策划营销有限公司,苏州,0.8-1万/月,3-4年经验,大专,苏州,9000.0
122,咨询顾问/数据分析师,http://jobs.51job.com/shanghai-pdxq/91965207.html?s=01&t=0,唯凯国际物流股份有限公司,上海-浦东新区,0.5-1万/月,2年经验,本科,上海,7500.0
123,数据分析师实习生-广州-00088,http://jobs.51job.com/guangzhou/85362634.html?s=01&t=0,互动派科技股份有限公司,广州,1.5-2千/月,,本科,广州,1750.0
124,高级数据分析师,http://jobs.51job.com/guangzhou/90444579.html?s=01&t=0,广州星域信息科技有限公司,广州,6-8千/月,2年经验,本科,广州,7000.0
125,财务数据分析员,http://jobs.51job.com/chengdu-jnq/90796558.html?s=01&t=0,成都吕红发商贸有限公司,成都-金牛区,3-4.5千/月,1年经验,大专,成都,3750.0
126,数据分析岗,http://cpiclife.51job.com/sc/show_job_detail.php?jobid=84392060,太平洋人寿保险重庆分公司,重庆,3-4.5千/月,,,重庆,3750.0
127,数据分析师,http://jobs.51job.com/chengdu/85976464.html?s=01&t=0,四川文轩在线电子商务有限公司,成都,6-8千/月,,本科,成都,7000.0
128,金融数据分析交易员6K+,http://jobs.51job.com/shenzhen-nsq/91390959.html?s=01&t=0,深圳市鑫荣高投资有限公司,深圳-南山区,0.8-1万/月,,高中,深圳,9000.0
129,数据分析专员,http://jobs.51job.com/hangzhou/75536772.html?s=01&t=0,浙江小也网络科技有限公司,杭州,3-4.5千/月,,,杭州,3750.0
130,市场调研/数据分析,http://jobs.51job.com/shanghai-xhq/91843255.html?s=01&t=0,云图起势（上海）科技有限公司,上海-徐汇区,0.8-1.2万/月,2年经验,本科,上海,10000.0
131,Business Analysis Intern业务分析/数据分析实习生,http://jobs.51job.com/shanghai/75258880.html?s=01&t=0,麦朗（上海）医疗器材贸易有限公司,上海,150元/天,1年经验,,上海,3262.0
132,数据分析师（美团外卖-众包配送）,http://meituan.51job.com/sc/job_shuoming.php?jobid=82646216,美团点评,北京,0.8-1万/月,,,北京,9000.0
133,数据分析师,http://jobs.51job.com/guangzhou-yxq/87349547.html?s=01&t=0,广东英扬传奇广告有限公司,广州-越秀区,1-2万/月,,本科,广州,15000.0
134,直招：专业外汇分析师，金融风控数据分析员,http://jobs.51job.com/chongqing-yzq/91206274.html?s=01&t=0,重庆赢貌科技有限公司,重庆-渝中区,4.5-8千/月,无工作经验,大专,重庆,6250.0
135,数据分析师,http://jobs.51job.com/hangzhou/90816713.html?s=01&t=0,杭州就试易嘉网络科技有限公司,杭州,4.5-6千/月,,,杭州,5250.0
136,BI数据分析师,http://jobs.51job.com/hangzhou-bjq/91318598.html?s=01&t=0,杭州亿家健康管理有限公司,杭州-滨江区,4-8千/月,1年经验,大专,杭州,6000.0
137,商品数据分析（鞋服行业）,http://jobs.51job.com/guangzhou/75772339.html?s=01&t=0,骆驼服饰,广州,4-8千/月,2年经验,中专,广州,6000.0
138,企划数据分析（偏经营、行业分析）,http://jobs.51job.com/shanghai-pdxq/86289256.html?s=01&t=0,川石道企业信用征信（上海）有限公司,上海-浦东新区,1-2万/月,3-4年经验,,上海,15000.0
139,微软-销售数据分析,http://jobs.51job.com/beijing/82020594.html?s=01&t=0,北京迪美策方市场咨询有限公司,北京,1-1.5万/月,3-4年经验,本科,北京,12500.0
140,数据分析专员/总经理助理,http://jobs.51job.com/shanghai-qpq/92139783.html?s=01&t=0,上海鼎世展览展示有限公司,上海-青浦区,3-4.5千/月,无工作经验,大专,上海,3750.0
141,[急聘]研究员（物流数据分析方向）,http://jobs.51job.com/beijing/91389408.html?s=01&t=0,日立（中国）研究开发有限公司,北京,,2年经验,硕士,北京,
142,数据分析专员(001895),http://jobs.51job.com/guangzhou-thq/81814699.html?s=01&t=0,卓望控股有限公司,广州-天河区,0.8-1万/月,2年经验,本科,广州,9000.0
143,销售数据分析,http://jobs.51job.com/hangzhou-xhq/89263288.html?s=01&t=0,卓望信息技术（北京）有限公司,杭州-西湖区,0.6-1.2万/月,,,杭州,9000.0
144,数据分析经理(002225),http://jobs.51job.com/nanjing/89230566.html?s=01&t=0,卓望数码技术（深圳）有限公司,南京,1-2万/月,5-7年经验,本科,南京,15000.0
145,数据分析师（用户运营方向）,http://jobs.51job.com/chongqing-yzq/88724718.html?s=01&t=0,重庆鸿巨网络科技有限公司,重庆-渝中区,6-8千/月,1年经验,本科,重庆,7000.0
146,大数据分析师,http://jobs.51job.com/shenzhen/92345051.html?s=01&t=0,深圳中泓在线股份有限公司,深圳,1-1.5万/月,3-4年经验,本科,深圳,12500.0
147,采购部实习生 - 数据分析,http://jobs.51job.com/chengdu-gxq/90468599.html?s=01&t=0,IBM China,成都-高新区,120元/天,无工作经验,,成都,2610.0
148,数据分析师,http://jobs.51job.com/wuhan-wcq/92433394.html?s=01&t=0,武汉夷微春秋文化传播有限公司,武汉-武昌区,4.5-6千/月,2年经验,本科,武汉,5250.0
149,行业数据分析师,http://jobs.51job.com/beijing-tzq/92433358.html?s=01&t=0,国金黄金股份有限公司,北京-通州区,0.8-1.5万/月,5-7年经验,大专,北京,11500.0
150,数据分析师,http://jobs.51job.com/guangzhou-byq/92463634.html?s=01&t=0,广州潮洋皮具贸易有限公司,广州-白云区,4.5-6千/月,1年经验,大专,广州,5250.0
151,数据分析师,http://jobs.51job.com/shenzhen-nsq/92126173.html?s=01&t=0,意礴科技（深圳）有限公司,深圳-南山区,1-2万/月,1年经验,,深圳,15000.0
152,数据分析专员（汕头）,http://jobs.51job.com/shantou/91194980.html?s=01&t=0,珠海旺店宝软件有限公司,汕头,3-4千/月,1年经验,中专,汕头,3500.0
153,商品专员（数据分析）常熟,http://jobs.51job.com/changshu/78255025.html?s=01&t=0,苏州市乐铭贸易有限公司,常熟,3-4.5千/月,2年经验,,常熟,3750.0
154,商品专员 数据分析员 产品专员 销售顾问 产品客服,http://jobs.51job.com/guangzhou-byq/87796039.html?s=01&t=0,广州认同女装,广州-白云区,4.5-6千/月,,大专,广州,5250.0
