职位名,链接,公司,工作地点,薪资,经验,学历
数据分析师,http://jobs.51job.com/guangzhou/80309276.html?s=01&t=0,广州市恒智三利广告有限公司,广州,3.5-4.5千/月,1年经验,本科
数据分析顾问_江湾城路99号(001315),http://jobs.51job.com/shanghai/91861492.html?s=01&t=0,上海家化联合股份有限公司,上海,1-2万/月,8-9年经验,本科
用户信息数据分析,http://jobs.51job.com/shanghai/72648356.html?s=01&t=0,上海海马汽车研发有限公司,上海,0.8-1万/月,3-4年经验,硕士
数据分析师,http://jobs.51job.com/shanghai/91958187.html?s=01&t=0,上海金丘信息科技股份有限公司,上海,0.8-1.6万/月,2年经验,本科
数据分析助理/带薪培训,http://jobs.51job.com/chengdu-gxq/90979549.html?s=01&t=0,成都云创逸孚金融信息服务有限公司,成都-高新区,3-4.5千/月,,大专
数据分析师,http://jobs.51job.com/guangzhou-byq/74004452.html?s=01&t=0,广州欧博化妆品有限公司,广州-白云区,6-8千/月,2年经验,大专
数据分析师,http://jobs.51job.com/changde/90548246.html?s=01&t=0,湖南粤港光电科技有限公司,异地招聘,6-8千/月,2年经验,大专
数据分析专员,http://jobs.51job.com/xiamen/92461402.html?s=01&t=0,厦门同步网络有限公司,厦门,4-8千/月,,
数据分析师,http://jobs.51job.com/shenzhen-nsq/91467672.html?s=01&t=0,深圳市优阅达数据科技有限公司,异地招聘,4.5-6千/月,3-4年经验,本科
数据分析师,http://jobs.51job.com/haikou/79752509.html?s=01&t=0,海南尚品易购电子商务有限公司,异地招聘,4.5-6千/月,2年经验,本科
数据分析师--大数据,http://jobs.51job.com/guangzhou-byq/90004624.html?s=01&t=0,广州棒谷网络科技有限公司,广州-白云区,1-1.5万/月,,本科
高级数据分析师,http://jobs.51job.com/guangzhou-hzq/77478234.html?s=01&t=0,广州市原象广告有限公司,广州-海珠区,0.7-1.2万/月,2年经验,本科
数据分析师（大数据）(000674),http://jobs.51job.com/beijing/85138994.html?s=01&t=0,联动优势科技有限公司,北京,1-1.5万/月,3-4年经验,本科
数据分析师,http://jobs.51job.com/chengdu-qyq/85190401.html?s=01&t=0,成都依诺信息技术有限公司,成都-青羊区,0.5-1万/月,,大专
基金数据分析岗,http://jobs.51job.com/shanghai-hpq/92124645.html?s=01&t=0,上海霖鹏资产管理有限公司,上海-黄浦区,0.8-1万/月,,本科
经营管理数据分析员,http://jobs.51job.com/hangzhou-yhq/82236785.html?s=01&t=0,浙江铁流离合器股份有限公司,杭州-余杭区,10-15万/年,5-7年经验,本科
销售数据分析,http://jobs.51job.com/shanghai/89656276.html?s=01&t=0,上海美设国际货运有限公司,上海,0.6-1万/月,,
数据分析,http://jobs.51job.com/shanghai-jaq/91133057.html?s=01&t=0,哦加哦网络科技（上海）有限公司,上海-静安区,1.5-3万/月,,
管理培训生（数据分析方向）,http://jobs.51job.com/guangzhou-hzq/92362180.html?s=01&t=0,广州智干电子商务有限公司,广州-海珠区,5-7千/月,,本科
数据分析专员,http://jobs.51job.com/shaoxing/89365206.html?s=01&t=0,浙江中财管道科技股份有限公司,绍兴,3-4.5千/月,,本科
数据分析师,http://jobs.51job.com/shanghai/87227186.html?s=01&t=0,上海美华系统有限公司,上海,1-1.5万/月,2年经验,本科
数据分析主管,http://jobs.51job.com/kunshan/85160313.html?s=01&t=0,上海世茂商业投资管理有限公司,昆山,6-8千/月,3-4年经验,
数据分析工程师,http://jobs.51job.com/beijing-hdq/91413396.html?s=01&t=0,北京百卓网络技术有限公司,北京-海淀区,3-4.5千/月,无工作经验,大专
采购数据分析岗,http://jobs.51job.com/shanghai-cnq/86765124.html?s=01&t=0,JD京东商城,上海-长宁区,4-7千/月,,大专
数据分析工程师（自然语言方向）,http://jobs.51job.com/shenzhen-nsq/91970157.html?s=01&t=0,深圳碳云智能科技有限公司,深圳-南山区,1.2-3万/月,,
高级数据分析师,http://jobs.51job.com/guangzhou-thq/87954284.html?s=01&t=0,广州上钩拳文化产业发展有限公司,广州-天河区,1-1.5万/月,3-4年经验,本科
数据分析/处理/数据管理员（实习生）,http://jobs.51job.com/chengdu-gxq/92037416.html?s=01&t=0,成都玉米魔方网络科技有限公司,成都-高新区,5-7千/月,无工作经验,大专
总监助理（数据分析方向）,http://jobs.51job.com/beijing-cyq/92485701.html?s=01&t=0,迷你考拉仓(北京)仓储服务有限公司,北京-朝阳区,0.8-1万/月,5-7年经验,
数据分析师,http://jobs.51job.com/shenzhen-nsq/91604060.html?s=01&t=0,慧择网,深圳-南山区,1-2万/月,5-7年经验,本科
Sales Analyst 销售数据分析专员,http://jobs.51job.com/shenzhen-nsq/92507517.html?s=01&t=0,UL中国,深圳-南山区,0.6-1.2万/月,5-7年经验,本科
金融产品经理（数据分析）,http://jobs.51job.com/shanghai-cnq/92170289.html?s=01&t=0,惠众商务顾问（北京）有限公司上海分公司,上海-长宁区,1.5-2万/月,,大专
金融数据分析师,http://jobs.51job.com/shanghai/90067362.html?s=01&t=0,乾康（上海）金融信息服务股份有限公司,上海,0.8-1.2万/月,2年经验,硕士
产品、竞品数据分析师,http://jobs.51job.com/wuhan/90080784.html?s=01&t=0,武汉斗鱼网络科技有限公司,武汉,0.8-1.5万/月,,
数据分析师,http://jobs.51job.com/nanjing/90141601.html?s=01&t=0,南京保加利体育用品有限公司,南京,3-4.5千/月,1年经验,大专
数据分析专员,http://jobs.51job.com/shanghai-bsq/78386391.html?s=01&t=0,智富金融信息服务（上海）有限公司,上海-宝山区,4.5-6千/月,,
数据分析专员,http://jobs.51job.com/hefei/92476911.html?s=01&t=0,安徽经典市场调查咨询有限公司,合肥,3-4.5千/月,2年经验,本科
招数据分析/数据挖掘（周末双休）,http://jobs.51job.com/hefei/92510743.html?s=01&t=0,合肥文辉软件服务有限责任公司,合肥,3-4千/月,,
数据分析师,http://jobs.51job.com/zhenjiang/90125370.html?s=01&t=0,暖暖屋玩具商贸有限公司,镇江,4.5-6千/月,2年经验,本科
数据分析专员,http://jobs.51job.com/shanghai-fxq/88228166.html?s=01&t=0,上海美渠网络科技有限公司,上海-奉贤区,6-8千/月,,
数据分析师,http://jobs.51job.com/shenzhen-ftq/92476988.html?s=01&t=0,深圳畜联科技合伙企业（有限合伙）,深圳-福田区,6-8千/月,3-4年经验,大专
数据分析师,http://jobs.51job.com/shanghai-pdxq/91226362.html?s=01&t=0,深圳市富海民享财富管理有限公司,上海-浦东新区,4-6千/月,,
数据分析师,http://jobs.51job.com/chengdu/91224899.html?s=01&t=0,四川享宇金信金融服务外包有限公司,成都,0.8-1.5万/月,2年经验,硕士
数据分析师,http://jobs.51job.com/nanjing-glq/90054789.html?s=01&t=0,南京链家房地产经纪有限公司,南京-鼓楼区,4-6千/月,,本科
高级CRM数据分析专员,http://jobs.51job.com/shanghai-xhq/76025359.html?s=01&t=0,丽人丽妆,上海-徐汇区,1-1.5万/月,3-4年经验,
数据分析助理-乐途代招,http://jobs.51job.com/hangzhou/92513824.html?s=01&t=0,杭州真趣网络科技有限公司,杭州,3-4.5千/月,1年经验,
北京市食品药品投诉中心 数据分析岗,http://jobs.51job.com/beijing-xcq/92319877.html?s=01&t=0,北京赛迪通呼叫中心有限公司,北京-西城区,4.5-6千/月,,
商务数据分析,http://jobs.51job.com/shanghai/91955264.html?s=01&t=0,昆山和君纵达数据科技有限公司,上海,0.8-1.5万/月,3-4年经验,本科
数据分析师 做五休二170804,http://jobs.51job.com/shanghai/92467590.html?s=01&t=0,上海尼隆信息科技有限公司,上海,6-8千/月,,
大数据分析算法专家,http://jobs.51job.com/beijing/90277080.html?s=01&t=0,北京捷通华声科技股份有限公司,北京,2.5-5万/月,5-7年经验,本科
数据分析师,http://jobs.51job.com/guangzhou/85750637.html?s=01&t=0,广东觅游信息科技有限公司,广州,4.5-6千/月,1年经验,本科
销售数据分析 绩效+五险一金+双休+年底双薪,http://jobs.51job.com/beijing-xcq/83222084.html?s=01&t=0,北京西斯互动广告有限公司,北京-西城区,4.5-6千/月,,
数据分析主管,http://jobs.51job.com/dongguan/92500486.html?s=01&t=0,东莞太平洋博高润滑油有限公司,东莞,5-8千/月,3-4年经验,本科
数据分析-市场,http://jobs.51job.com/beijing-cyq/89454855.html?s=01&t=0,北京东方志禾商贸有限公司,北京-朝阳区,0.8-1.5万/月,,本科
高级数据分析师,http://jobs.51job.com/shenzhen-nsq/92504335.html?s=01&t=0,深圳市丰巢科技有限公司,深圳-南山区,1.5-2万/月,3-4年经验,本科
数据分析师,http://jobs.51job.com/dalian-gxyq/92498524.html?s=01&t=0,舜德链融数据科技（大连）有限公司,大连-高新园区,1.3-1.5万/月,5-7年经验,
商品主管（数据分析）,http://jobs.51job.com/guangzhou-byq/92033282.html?s=01&t=0,广州市稻草人皮具有限公司,广州-白云区,0.8-1万/月,3-4年经验,
数据分析实习生,http://jobs.51job.com/shanghai-hkq/92493946.html?s=01&t=0,西十区,上海-虹口区,2-3千/月,,大专
数据分析师,http://jobs.51job.com/shanghai-bsq/92475257.html?s=01&t=0,上海瑞宝重车服务有限公司,上海-宝山区,0.8-1万/月,1年经验,本科
数据分析助理,http://jobs.51job.com/shanghai-sjq/92012538.html?s=01&t=0,上海弘升光学眼镜有限公司,上海-松江区,4-6千/月,,大专
数据分析师,http://jobs.51job.com/beijing-hdq/79955503.html?s=01&t=0,小资生活（北京）信息技术有限公司,北京-海淀区,1-1.5万/月,,
运营数据分析员,http://jobs.51job.com/guangzhou-thq/92480687.html?s=01&t=0,广东宜通世纪科技股份有限公司,广州-天河区,3.5-5千/月,,大专
数据分析师助理,http://jobs.51job.com/tianjin-xqq/91704541.html?s=01&t=0,颐信科技有限公司,天津-西青区,3-4.5千/月,无工作经验,大专
数据分析研发工程师（JAVA）,http://jobs.51job.com/beijing/85067800.html?s=01&t=0,普天信息技术有限公司,北京,1-1.5万/月,3-4年经验,本科
大数据分析,http://jobs.51job.com/jinan/86419406.html?s=01&t=0,青岛特来电新能源有限公司,济南,1-2万/月,,本科
数据分析师,http://jobs.51job.com/shanghai-pdxq/90716030.html?s=01&t=0,车享汽车俱乐部（上海）有限公司,上海-浦东新区,0.8-1.2万/月,,本科
数据分析师JD,http://jobs.51job.com/shanghai-pdxq/90572294.html?s=01&t=0,上海盟鼎网络科技有限公司,上海-浦东新区,0.5-1.5万/月,,硕士
数据分析师（化工方向）,http://jobs.51job.com/xiamen/92107815.html?s=01&t=0,北京科莱特信息技术有限公司厦门分公司,厦门,0.8-1万/月,1年经验,大专
数据分析员,http://jobs.51job.com/shenzhen-baq/85353159.html?s=01&t=0,苏州乐贝网络科技有限公司,深圳-宝安区,0.5-1万/月,2年经验,大专
商品贸易管理/数据分析,http://jobs.51job.com/guangzhou/76188209.html?s=01&t=0,名创优品股份有限公司,广州,5-8千/月,,
数据分析,http://jobs.51job.com/shenzhen-baq/92034827.html?s=01&t=0,跨越速运集团有限公司,深圳-宝安区,4.5-6千/月,1年经验,大专
贷后数据分析（MIS）,http://jobs.51job.com/shanghai-pdxq/92509443.html?s=01&t=0,上海你我贷互联网金融信息服务有限公司,上海-浦东新区,4.5-6千/月,,本科
统计分析员-（管理or数据分析方向）（滁州）,http://jobs.51job.com/chuzhou/92476281.html?s=01&t=0,中骅国际物流有限公司,滁州,3-4.5千/月,,大专
数据分析师,http://jobs.51job.com/shanghai-sjq/90901674.html?s=01&t=0,上海联璧电子科技有限公司,上海-松江区,0.8-1.2万/月,2年经验,
数据分析师（智能仪表）,http://jobs.51job.com/shanghai/92487725.html?s=01&t=0,上海航天能源股份有限公司,上海,4.5-6千/月,,本科
数据分析主管,http://jobs.51job.com/beijing/91966720.html?s=01&t=0,北京长久物流股份有限公司,北京,0.8-1万/月,3-4年经验,本科
数据分析员,http://jobs.51job.com/guangzhou-byq/92468265.html?s=01&t=0,广州曼天雨商贸有限公司,广州-白云区,4.5-6千/月,,大专
数据分析专员,http://jobs.51job.com/dongguan/50491257.html?s=01&t=0,健客网,东莞,4-6千/月,无工作经验,本科
高级数据分析师,http://jobs.51job.com/hangzhou/83852623.html?s=01&t=0,杭州安致电子商务股份有限公司,杭州,0.8-1.5万/月,2年经验,本科
数据分析/处理员Data Analyst/ Processor,http://jobs.51job.com/shanghai-pdxq/91442388.html?s=01&t=0,塔塔信息技术（中国）股份有限公司,上海-浦东新区,4-6千/月,,大专
数据分析工程师,http://jobs.51job.com/guiyang/80608302.html?s=01&t=0,食品安全与营养（贵州）信息科技有限公司,贵阳,0.8-1.2万/月,1年经验,本科
数据分析岗,http://jobs.51job.com/hangzhou/90960059.html?s=01&t=0,浙江民泰商业银行股份有限公司,杭州,15-20万/年,,
数据分析经理,http://jobs.51job.com/overseas/91609253.html?s=01&t=0,袋鼠（大连）人力资源有限公司,异地招聘,1.5-2.5万/月,3-4年经验,本科
数据分析专员,http://jobs.51job.com/chengdu-qyq/92394850.html?s=01&t=0,杭州中跃教育科技有限公司,成都-青羊区,3-4.5千/月,,
数据分析主管,http://jobs.51job.com/shanghai-xhq/88590472.html?s=01&t=0,上海拓景信息科技有限公司,上海-徐汇区,1-1.5万/月,5-7年经验,本科
行政专员/数据分析员,http://jobs.51job.com/chengdu-slx/92130676.html?s=01&t=0,仁寿县玉禾种植有限公司,成都-双流县,2-3.5千/月,1年经验,高中
数据分析师,http://jobs.51job.com/nanjing/92378998.html?s=01&t=0,云动智慧互联网金融服务（深圳）有限公司南京分公司,南京,4-6千/月,2年经验,大专
遗传数据分析师,http://jobs.51job.com/guangzhou-hpq/90525629.html?s=01&t=0,广州达瑞生殖技术有限公司,广州-黄埔区,3-4.5千/月,,本科
数据分析师,http://jobs.51job.com/nanjing-yhtq/88006947.html?s=01&t=0,南京胜沃投资管理有限公司,南京-雨花台区,3-4.5千/月,,大专
数据分析师,http://jobs.51job.com/hangzhou-xhq/88972792.html?s=01&t=0,杭州朋迈信息技术有限公司,杭州-西湖区,0.8-1万/月,2年经验,本科
数据分析专员,http://jobs.51job.com/zhuhai/84876896.html?s=01&t=0,珠海丽珠试剂股份有限公司,珠海,3-4.5千/月,2年经验,大专
数据分析专员（主管）,http://jobs.51job.com/beijing-cyq/89191926.html?s=01&t=0,鑫茂荣信投资管理（北京）有限公司,北京-朝阳区,0.6-1.2万/月,3-4年经验,
系统数据分析专员/助理,http://jobs.51job.com/shenyang/89819484.html?s=01&t=0,大连摩比维迪视频系统有限公司,沈阳,3-5千/月,无工作经验,大专
数据分析工程师,http://jobs.51job.com/shanghai/81279921.html?s=01&t=0,上海数慧系统技术有限公司,上海,6-8千/月,,本科
数据分析实习生,http://jobs.51job.com/beijing-cyq/92423232.html?s=01&t=0,北京卓思天成数据咨询股份有限公司,北京-朝阳区,2-3千/月,无工作经验,
数据分析经理,http://jobs.51job.com/beijing-cyq/91751977.html?s=01&t=0,国美电器有限公司,北京-朝阳区,1-1.5万/月,3-4年经验,本科
数据分析员,http://jobs.51job.com/guangzhou-yxq/74628328.html?s=01&t=0,广州市森能投资管理有限公司,广州-越秀区,3-4.5千/月,2年经验,大专
数据分析专员,http://jobs.51job.com/guangzhou-thq/88535048.html?s=01&t=0,珠海润都制药股份有限公司,广州-天河区,6-8千/月,2年经验,
Data Analyst/ 大数据分析专员,http://jobs.51job.com/shanghai-pdxq/71991007.html?s=01&t=0,上海楚重科技有限公司,上海-浦东新区,0.8-1万/月,1年经验,本科
销售数据分析/内勤岗/纯文职（行政班+晋升渠道广）,http://jobs.51job.com/chengdu-gxq/92184183.html?s=01&t=0,成都达盛美邦商贸有限公司,成都-高新区,4-6千/月,无工作经验,大专
数据分析师(008946),http://jobs.51job.com/beijing/89996890.html?s=01&t=0,神州数码（中国）有限公司,北京,1-1.5万/月,2年经验,硕士
生物信息及数据分析人员,http://jobs.51job.com/suzhou/90704506.html?s=01&t=0,德尔未来科技控股集团股份有限公司,异地招聘,6-9千/月,,硕士
数据分析专员,http://jobs.51job.com/shanghai-jaq/90211521.html?s=01&t=0,上海弘达投资管理有限公司,上海-静安区,4.5-6千/月,,
电商数据分析员,http://jobs.51job.com/guangzhou-hzq/89545694.html?s=01&t=0,广州祺和药业有限公司,广州-海珠区,3.5-8千/月,,大专
运营数据分析,http://jobs.51job.com/wuhan-xzq/91923004.html?s=01&t=0,京东商城华中分公司,武汉-新洲区,4-5千/月,,
数据分析师,http://jobs.51job.com/beijing/88866107.html?s=01&t=0,北京市鑫海威信息中心,北京,0.6-2万/月,3-4年经验,硕士
数据分析员,http://jobs.51job.com/shanghai-xhq/91328721.html?s=01&t=0,迅付信息科技有限公司,上海-徐汇区,7-10万/年,1年经验,
数据分析员,http://jobs.51job.com/zhuzhou/86903657.html?s=01&t=0,湖南瓯利德百货有限公司,株洲,3-4.5千/月,,
数据分析员（会计）,http://jobs.51job.com/chengdu-jnq/87774033.html?s=01&t=0,成都圆亨时代商贸有限公司,成都-金牛区,3-5千/月,,大专
数据分析/挖掘工程师,http://jobs.51job.com/shanghai-xhq/91959939.html?s=01&t=0,本来生活网,上海-徐汇区,,3-4年经验,
数据分析师,http://jobs.51job.com/fuzhou-csq/68003331.html?s=01&t=0,福州精益美商贸有限公司,福州-仓山区,3-4.5千/月,3-4年经验,大专
数据分析助理,http://jobs.51job.com/shenzhen-ftq/81398105.html?s=01&t=0,联洲税务师事务所有限公司,深圳-福田区,3-4.5千/月,无工作经验,本科
数据分析员,http://jobs.51job.com/beijing-ftq/66759653.html?s=01&t=0,北京一商兰枫叶商业有限公司,北京-丰台区,4-6千/月,,
数据分析管培生,http://jobs.51job.com/guangzhou-byq/91429663.html?s=01&t=0,恒企教育,广州-白云区,3-4.5千/月,无工作经验,
数据分析员,http://jobs.51job.com/xian/91654457.html?s=01&t=0,西安泰展财务管理有限公司,西安,4.5-6.5千/月,无工作经验,硕士
大数据分析专员（互联网数据方向）双休+五险一金,http://jobs.51job.com/shenyang/87399090.html?s=01&t=0,沈阳中科云信息技术有限公司,沈阳,3-5千/月,,大专
物流货代系统数据分析工程师助理/实习    五险双休,http://jobs.51job.com/shaanxisheng/86458580.html?s=01&t=0,西安传道企业咨询有限公司,异地招聘,4.5-6千/月,1年经验,大专
数据分析,http://jobs.51job.com/hangzhou/92426570.html?s=01&t=0,乐港科技有限公司,杭州,6-8千/月,,本科
数据分析专员,http://jobs.51job.com/shanghai/91258581.html?s=01&t=0,上海创蓝文化传播有限公司,上海,6-9千/月,,本科
数据分析,http://jobs.51job.com/xian/79477554.html?s=01&t=0,陕西金赢工贸有限公司,西安,3-4.5千/月,3-4年经验,
资深大数据分析师,http://jobs.51job.com/hangzhou/88289244.html?s=01&t=0,朗新科技股份有限公司,杭州,1.5-3万/月,,硕士
数据分析专员（项目类）,http://jobs.51job.com/hangzhou-bjq/89331503.html?s=01&t=0,杭州指南针资产管理有限公司,杭州-滨江区,4.5-6千/月,,大专
数据分析助理,http://jobs.51job.com/shenzhen-nsq/56673761.html?s=01&t=0,深圳市新蕾电子有限公司,深圳-南山区,4-7.5千/月,1年经验,大专
中/高级商户服务专员（数据分析经验优先）,http://jobs.51job.com/beijing-cyq/81313054.html?s=01&t=0,易宝集团,北京-朝阳区,0.6-1万/月,,
数据分析工程师(实习生),http://jobs.51job.com/shanghai-pdxq/86167201.html?s=01&t=0,华勤通讯技术有限公司,上海-浦东新区,2-3千/月,无工作经验,本科
商品数据分析专员,http://jobs.51job.com/shanghai-mhq/82348849.html?s=01&t=0,上海卡洛特眼镜有限公司,上海-闵行区,,,本科
数据分析经理,http://jobs.51job.com/haikou/91514632.html?s=01&t=0,海南小二网络科技有限公司,海口,0.6-1.2万/月,3-4年经验,本科
运营专员/数据分析专员（松江）,http://jobs.51job.com/shanghai/91673561.html?s=01&t=0,上海轩天实业有限公司,上海,4-6千/月,,本科
开发工程师（Python+mongodb）-大数据分析,http://jobs.51job.com/beijing-cpq/90444417.html?s=01&t=0,中电长城网际系统应用有限公司,北京-昌平区,0.7-1.2万/月,2年经验,本科
数据分析员,http://jobs.51job.com/nanjing/89215728.html?s=01&t=0,世和资讯南京七彩虹,南京,3-4.5千/月,,高中
数据分析专员,http://jobs.51job.com/guangzhou/88310664.html?s=01&t=0,广州微信通讯技术有限公司,广州,6-7千/月,,本科
数据分析经理（金融）,http://jobs.51job.com/shanghai/87671692.html?s=01&t=0,银联智惠信息服务（上海）有限公司,上海,1.5-2万/月,3-4年经验,本科
数据分析师,http://jobs.51job.com/wuhan-wcq/87274942.html?s=01&t=0,有用分期,武汉-武昌区,6-8千/月,2年经验,本科
财务结算专员（数据分析）,http://jobs.51job.com/shanghai-hpq/87016939.html?s=01&t=0,上海中融资产管理有限公司,上海-黄浦区,4.5-6千/月,3-4年经验,大专
Business Planner  商务数据分析师,http://jobs.51job.com/shanghai/86232727.html?s=01&t=0,上海恒坤行贸易有限公司,上海,1.2-1.8万/月,5-7年经验,本科
数据分析,http://jobs.51job.com/beijing/85632704.html?s=01&t=0,北京清大世纪网络科技有限公司,北京,4-6千/月,,
大数据分析,http://jobs.51job.com/shanghai/85257608.html?s=01&t=0,通维数码科技（上海）有限公司,上海,2-2.5万/月,3-4年经验,本科
运营专员（数据分析）,http://jobs.51job.com/nanchang/84864451.html?s=01&t=0,北京风行盛世文化传播有限公司,南昌,3-5千/月,无工作经验,大专
（数据分析员）信息专员,http://jobs.51job.com/qingdao-sbq/84022416.html?s=01&t=0,赛轮金宇集团股份有限公司,青岛-市北区,4-6千/月,,本科
数据分析实习生（赴北京联想）,http://jobs.51job.com/beijing/83848721.html?s=01&t=0,上海微创软件股份有限公司,北京,115元/天,,本科
数据分析主管,http://jobs.51job.com/shenzhen-ftq/83441074.html?s=01&t=0,深圳市前海雪球科技咨询有限责任公司,深圳-福田区,0.8-1万/月,,本科
数据分析专员,http://jobs.51job.com/shenzhen-lgq/81415457.html?s=01&t=0,深圳前海新华康互联网金融服务有限公司,深圳-龙岗区,4.5-6千/月,1年经验,大专
电商数据分析,http://jobs.51job.com/huzhou/79901447.html?s=01&t=0,浙江米皇集团有限公司,湖州,6-8万/年,,大专
数据分析专员,http://jobs.51job.com/panjin/76127979.html?s=01&t=0,辽宁金社裕农电子商务集团有限公司,盘锦,2-3千/月,2年经验,
数据分析师,http://jobs.51job.com/shanghai-zbq/75881912.html?s=01&t=0,上海君游网络科技有限公司,上海-闸北区,1-1.5万/月,,本科
数据分析岗,http://jobs.51job.com/shanghai/75130045.html?s=01&t=0,上海零点市场调查有限公司,上海,5-6.9千/月,1年经验,硕士
市场数据分析员,http://jobs.51job.com/shenzhen-lgq/74896094.html?s=01&t=0,华润半导体（深圳）有限公司,深圳-龙岗区,3-5千/月,1年经验,大专
数据分析经理,http://lachapelle.51job.com/show_job_detail.php?jobid=71713229,上海拉夏贝尔服饰股份有限公司,上海-徐汇区,15-20万/年,,
数据分析专员,http://jobs.51job.com/guangzhou-lgq/70827496.html?s=01&t=0,广州康臣药业有限公司,广州-萝岗区,4-6千/月,1年经验,大专
数据分析,http://jobs.51job.com/shanghai-xhq/70238153.html?s=01&t=0,上海欧帛服饰有限公司,上海-徐汇区,0.7-1万/月,,本科
数据分析专员,http://jobs.51job.com/shenzhen-nsq/69229324.html?s=01&t=0,深圳市邓皓时尚服饰有限公司,深圳-南山区,4.5-6千/月,,
数据分析员,http://jobs.51job.com/ningbo-yzq/64546855.html?s=01&t=0,宁波维亿供应链管理有限公司,宁波-鄞州区,3-4.5千/月,,本科
数据分析专员,http://5i5j.51job.com/sc/show_job_detail.php?jobid=62710492,广西伟业我爱我家房地产经纪有限公司,南宁,3-4.5千/月,,
excel、access数据分析操作员,http://jobs.51job.com/beijing/62699827.html?s=01&t=0,北京东方比特科技有限公司,北京,6-8万/年,2年经验,
数据中心—数据分析岗,http://jobs.51job.com/hangzhou-xsq/87377320.html?s=01&t=0,常山众卡运力供应链管理有限公司,杭州-萧山区,4-6千/月,,本科
数据分析助理,http://jobs.51job.com/beijing-cpq/90044361.html?s=01&t=0,北京先通国际医药科技股份有限公司,北京-昌平区,4.5-6千/月,,
商品专员/数据分析专员（果壳）,http://jobs.51job.com/ningbo/92171606.html?s=01&t=0,宁波果壳电子商务有限公司,宁波,3-4.5千/月,,
高级DP(高级数据分析/处理专员）-广州,http://jobs.51job.com/guangzhou-yxq/66066223.html?s=01&t=0,广州汇声市场调研有限公司,广州-越秀区,6-8千/月,2年经验,本科
4.5K急招互联网数据分析助理/协助人员（包吃住+双休）,http://jobs.51job.com/shenzhen-ftq/89047251.html?s=01&t=0,深圳云凌国际信息技术有限公司,深圳-福田区,4.5-6千/月,,大专
Python数据分析师,http://jobs.51job.com/beijing-ftq/90185782.html?s=01&t=0,中国软件与技术服务股份有限公司,北京-丰台区,1-1.5万/月,3-4年经验,本科
4500起急招项目数据分析文员/双休,http://jobs.51job.com/shenzhen-ftq/89824634.html?s=01&t=0,深圳万德菲电子商务有限公司,深圳-福田区,4.5-6千/月,1年经验,大专
数据分析师,http://jobs.51job.com/dongguan/92280902.html?s=01&t=0,东莞市瑞峰优慧垛实业投资有限公司,东莞,0.8-1万/月,,本科
数据分析员,http://jobs.51job.com/guangzhou/89173641.html?s=01&t=0,广州市西美信息科技有限公司,广州,4.5-5.5千/月,1年经验,大专
数据分析经理,http://jobs.51job.com/shanghai/91170573.html?s=01&t=0,林清轩,上海,1-1.5万/月,5-7年经验,大专
数据分析专员/实习生/应届生    双休4K,http://jobs.51job.com/shaanxisheng/88381316.html?s=01&t=0,西安蓝峰企业管理服务有限公司,异地招聘,4.5-6千/月,无工作经验,大专
高级渠道营销专员——数据分析方向,http://jobs.51job.com/shanghai-pdxq/91122951.html?s=01&t=0,上汽通用汽车金融有限责任公司,上海-浦东新区,0.8-1.2万/月,3-4年经验,本科
地铁沿线、高薪诚聘6K+金融数据分析师（可带薪培训）,http://jobs.51job.com/beijing-cyq/88755408.html?s=01&t=0,北京万向联合控股集团有限公司,北京-朝阳区,0.8-1万/月,,硕士
数据分析专员（金融业务线）双休+4k-6k,http://jobs.51job.com/xian-blq/87869541.html?s=01&t=0,中软国际ETC,西安-碑林区,4.5-6千/月,1年经验,大专
数据分析工程师,http://jobs.51job.com/shenzhen-nsq/83568117.html?s=01&t=0,深圳爱拼信息科技有限公司,深圳-南山区,8-8千/月,,
数据分析员,http://jobs.51job.com/chengdu-jnq/79351486.html?s=01&t=0,锦江区春森服饰店,成都-金牛区,3-4.5千/月,,中专
数据分析师,http://jobs.51job.com/shanghai-jaq/92131647.html?s=01&t=0,上海畅圣计算机科技有限公司,上海-静安区,1.2-2.4万/月,2年经验,本科
高级电商数据分析师（周末双休）,http://jobs.51job.com/guangzhou-hzq/87680711.html?s=01&t=0,广州妮趣化妆品有限公司,广州-海珠区,6-9千/月,2年经验,本科
数据中心 数据分析岗,http://jobs.51job.com/shanghai-hpq/86993996.html?s=01&t=0,上海佳堃自动化科技有限公司,上海-黄浦区,1.5-2万/月,3-4年经验,本科
航空公司项目-数据分析实习生,http://jobs.51job.com/zhengzhou/85352502.html?s=01&t=0,郑州易达科技集团,郑州,3.5-5千/月,,大专
数据分析师讲师,http://jobs.51job.com/shanghai/92408749.html?s=01&t=0,上海育创网络科技股份有限公司,上海,1-1.5万/月,,大专
数据分析专员/助理/实习生（金融业务线）,http://jobs.51job.com/shaanxisheng/85019084.html?s=01&t=0,西安创泰科技有限责任公司,异地招聘,4.5-6千/月,1年经验,大专
市场调研/数据分析,http://jobs.51job.com/shanghai/80645312.html?s=01&t=0,上海千永电子商务有限公司,上海,4.5-8千/月,,
数据分析,http://jobs.51job.com/xian-ytq/91678930.html?s=01&t=0,西安邦房企业管理咨询有限公司,西安-雁塔区,3-4.5千/月,,
数据分析师,http://jobs.51job.com/shanghai-cnq/75978710.html?s=01&t=0,国泰君安证券股份有限公司,上海-长宁区,,,
