职位名,链接,公司,工作地点,薪资,经验,学历
数据分析师,http://jobs.51job.com/shanghai-pdxq/89556212.html?s=01&t=0,达信财富投资管理（上海）有限公司,上海-浦东新区,5-8千/月,1年经验,
运营工程师（数据分析方向）,http://jobs.51job.com/beijing-hdq/89580411.html?s=01&t=0,北京中广瑞波科技股份有限公司,北京-海淀区,6-7千/月,1年经验,本科
数据分析员（可带薪实习）,http://jobs.51job.com/changchun/92545670.html?s=01&t=0,长春力凡景创科技有限公司,长春,3-4.5千/月,,大专
数据中心 数据分析岗,http://jobs.51job.com/shanghai-hpq/92550523.html?s=01&t=0,上海梓熠母婴用品有限公司,上海-黄浦区,2.5-3万/月,5-7年经验,本科
数据分析师 应届生亦可170807,http://jobs.51job.com/shanghai-xhq/92550528.html?s=01&t=0,上海航傲信息科技有限公司,上海-徐汇区,6-8千/月,,
财务数据分析,http://jobs.51job.com/shanghai-pdxq/92550368.html?s=01&t=0,上海维音信息技术股份有限公司,上海-浦东新区,0.8-1.5万/月,3-4年经验,
数据专员/数据分析员,http://jobs.51job.com/guangzhou-thq/82650307.html?s=01&t=0,广州亿加网络科技有限公司,广州-天河区,3-4.5千/月,,
数据分析师,http://jobs.51job.com/shenzhen-baq/89631903.html?s=01&t=0,深圳市艾联创新科技有限公司,深圳-宝安区,4.5-6千/月,无工作经验,大专
数据分析专员（双休 15-17薪）,http://jobs.51job.com/shenzhen-ftq/92547127.html?s=01&t=0,深圳自如友家资产管理有限公司,深圳-福田区,6-8千/月,,
数据分析师,http://jobs.51job.com/hangzhou/92403971.html?s=01&t=0,杭州码圈网络科技有限公司,杭州,4.5-6千/月,,大专
数据分析师,http://jobs.51job.com/shanghai-cnq/86406729.html?s=01&t=0,上海赤耳科技有限公司,上海-长宁区,1-2万/月,2年经验,大专
商品计划主管/商品数据分析,http://jobs.51job.com/nanchang-hgt/83122154.html?s=01&t=0,南昌市凤尚服饰有限公司,南昌-红谷滩新区,3.5-7千/月,2年经验,大专
韦博总部数据分析主管,http://jobs.51job.com/shanghai-xhq/91263035.html?s=01&t=0,韦博教育集团总部,上海-徐汇区,0.8-1万/月,3-4年经验,大专
商品专员 数据分析,http://jobs.51job.com/nanjing-jnq/92216014.html?s=01&t=0,南京森鹿皮件服饰有限公司,南京-江宁区,4.5-6千/月,,
数据分析师,http://jobs.51job.com/wenzhou/84424664.html?s=01&t=0,浙江国技互联信息技术有限公司,温州,4-8千/月,,大专
数据部经理/数据分析师,http://jobs.51job.com/fuzhou-tjq/91472381.html?s=01&t=0,福建小微时贷科技发展有限公司,福州-台江区,0.8-1.2万/月,,本科
大气数据分析师,http://jobs.51job.com/beijing-hdq/91673925.html?s=01&t=0,北京伟瑞迪科技有限公司,北京-海淀区,0.8-1.5万/月,,本科
运营（数据分析）,http://jobs.51job.com/chengdu-gxq/81826993.html?s=01&t=0,四川微然科技有限公司,成都-高新区,0.8-1.2万/月,,本科
大数据分析工程师,http://jobs.51job.com/xian-gxjs/82980879.html?s=01&t=0,西安盈谷网络科技有限公司,西安-高新技术...,0.6-1.2万/月,3-4年经验,本科
数据分析员（医学检验领域）--代招,http://jobs.51job.com/nanjing-jnq/84470445.html?s=01&t=0,东南大学—南京生物材料与医疗器械研究所,南京-江宁区,4-8千/月,3-4年经验,本科
行政（数据分析专员）,http://jobs.51job.com/shanghai/87782060.html?s=01&t=0,一嗨租车有限公司,上海,,,大专
地产数据分析师,http://jobs.51job.com/nanjing-jnq/91286149.html?s=01&t=0,江苏智德商业旅游发展有限公司,南京-江宁区,0.6-1.5万/月,,
数据分析专员 销售助理,http://jobs.51job.com/hangzhou-bjq/91929154.html?s=01&t=0,浙江集商优选电子商务有限公司,杭州-滨江区,6-8千/月,3-4年经验,大专
数据分析师,http://jobs.51job.com/shanghai-cnq/89012630.html?s=01&t=0,灿福信息科技,上海-长宁区,1.5-2.5万/月,5-7年经验,本科
数据分析师,http://jobs.51job.com/shanghai-pdxq/90140736.html?s=01&t=0,上海磐润置业有限公司,上海-浦东新区,6-8千/月,,本科
大数据分析工程师,http://jobs.51job.com/dalian-gxyq/87638630.html?s=01&t=0,甲骨文WDP （大连）授权实训中心,大连-高新园区,6-8千/月,,大专
数据分析员,http://jobs.51job.com/fuzhou-tjq/75453056.html?s=01&t=0,福州九九九服饰有限公司,福州-台江区,3-4千/月,,
数据分析员,http://jobs.51job.com/shanghai-jdq/84495792.html?s=01&t=0,内蒙古伊利实业集团股份有限公司,上海-嘉定区,4.5-6千/月,1年经验,大专
数据分析工程师,http://jobs.51job.com/shanghai-cnq/91677672.html?s=01&t=0,唯智信息技术（上海）股份有限公司,上海-长宁区,1-1.5万/月,,
SEM专员（数据分析+成本预算+竞价推广）,http://jobs.51job.com/shenzhen-lhq/88385845.html?s=01&t=0,深圳市盛世明德教育管理有限公司,深圳-罗湖区,6-8千/月,1年经验,大专
数据分析师,http://jobs.51job.com/guangzhou/88952597.html?s=01&t=0,佳都新太科技股份有限公司,广州,1-1.5万/月,,
数据分析师,http://jobs.51job.com/chengdu/92403970.html?s=01&t=0,成都市移动互联网协会,成都,4-6千/月,1年经验,
市场研究经理/数据分析经理,http://jobs.51job.com/dalian-gxyq/88017437.html?s=01&t=0,大连东软控股有限公司,大连-高新园区,1-2万/月,3-4年经验,
数据分析工程师,http://jobs.51job.com/nanjing/77915209.html?s=01&t=0,海能达南京研发中心,南京,0.8-2万/月,,
数据分析师,http://jobs.51job.com/wuhan-jxq/86592436.html?s=01&t=0,武汉合创鼎联科技有限公司,武汉-江夏区,4.5-6千/月,3-4年经验,硕士
大数据分析测试工程师,http://jobs.51job.com/shanghai-xhq/91816002.html?s=01&t=0,上海六界信息技术有限公司,上海-徐汇区,0.8-1.5万/月,3-4年经验,本科
数据分析师--掌厅,http://jobs.51job.com/nanjing/89115261.html?s=01&t=0,中国电信股份有限公司江苏电子渠道运营中心,南京,0.6-1万/月,,本科
数据运营专员/数据统筹/数据分析,http://jobs.51job.com/jinan-lxq/87543978.html?s=01&t=0,济南忠卓信息技术有限公司,济南-历下区,3-4.5千/月,无工作经验,大专
数据分析员,http://jobs.51job.com/guiyang/89551401.html?s=01&t=0,店商互联（北京）科技发展有限公司,贵阳,2-4千/月,,
报告/数据分析师（品牌/媒体公关方向）,http://jobs.51job.com/nanjing-qhq/83997768.html?s=01&t=0,慧科讯业(北京)网络科技有限公司南京分公司,南京-秦淮区,4.5-6千/月,3-4年经验,本科
数据分析师,http://jobs.51job.com/shanghai-pdxq/91743987.html?s=01&t=0,上海盐商网络科技有限公司,上海-浦东新区,0.8-1万/月,1年经验,硕士
数据分析师,http://jobs.51job.com/shenzhen/70437840.html?s=01&t=0,深圳诗普琳珠宝有限公司,深圳,0.8-1万/月,,
