标题,房型,房租,房租单位,地址
课程顾问助理,上海懿敬文化传播有限公司,上海-青浦区,4.5-6千/月,07-03
天猫店长/运营（3c产品）,上海谷登电气有限公司,上海,0.8-1万/月,07-03
动漫设计师助理+双休食宿（近地铁+应届生）,上海玖瑶信息技术有限公司,上海-徐汇区,4.5-6千/月,07-03
人事助理,上海大众液压技术有限公司,上海-嘉定区,3.5-4千/月,07-03
证券经纪人,招商证券股份有限公司上海世博证券...,上海-浦东新区,3.5-8千/月,07-03
网页设计/IU设计/平面设计,铂锐（上海）汽车科技有限公司,上海-嘉定区,4.5-8千/月,07-03
医学市场经理,上海金蓓高医院投资管理有限公司,上海-徐汇区,30-40万/年,07-03
销售代表,上海好好之旅国际旅行社有限公司,上海-黄浦区,6-8千/月,07-03
搜索引擎工程师,上海煤科信息科技有限公司,上海-徐汇区,1-2.5万/月,07-03
财务主管 人事行政,上海芮诺教育科技有限公司,上海-杨浦区,4-7千/月,07-03
开票员,上海富曦物流有限公司,上海-虹口区,3-4.5千/月,07-03
产品上市沟通策略,上海沿拓文化传播有限公司,上海-闵行区,0.5-1万/月,07-03
Quality Inspector 质检员-AMOT,上海儒博贸易有限公司,上海-嘉定区,6-8千/月,07-03
生产计划,上海正伟印刷有限公司,上海,3-4.5千/月,07-03
公司直聘网约司机 放心大胆来,上海琪辕汽车服务有限公司,上海-浦东新区,1-1.5万/月,07-03
私人银行部财富管理专家,宜信卓越财富投资管理（北京）有限...,上海-黄浦区,1.5-2万/月,07-03
风控产品运营,携程旅行网IT技术区,上海-长宁区,1-1.5万/月,07-03
证券经纪人,万联证券股份有限公司上海浦东新区...,上海-浦东新区,3-4.5千/月,07-03
跟单员,Accessory Sources Association L...,上海,3.5-6千/月,07-03
华东区心血管产品经理,齐鲁制药有限公司,上海,1-1.5万/月,07-03
UI美工设计,美明之辉（上海）网络科技有限公司,上海-浦东新区,6-8千/月,07-03
电话销售（市场部）,上海喜智资产管理有限公司,上海-浦东新区,4.5-6千/月,07-03
教育项目主管（赴美培训项目）,上海花果天育文化发展有限公司,上海-长宁区,0.8-1万/月,07-03
奢侈品公司-行政前台（转岗发展机会大）,北京外企德科人力资源服务上海有限...,上海,4-6千/月,07-03
销售助理,上海华燕房盟网络科技股份有限公司,上海-长宁区,3-7千/月,07-03
安卓Android/苹果IOS开发工程师,上海哈泰网络科技有限公司,上海-宝山区,1-2万/月,07-03
PHP开发工程师,上海惠保数据科技有限公司,上海-浦东新区,0.8-1万/月,07-03
网络工程师,上海悠欧网络工程有限公司,上海-普陀区,6-8千/月,07-03
系统维护工程师,上海速连信息科技有限公司,异地招聘,3-5千/月,07-03
资深芯片版图工程师,上海伏达半导体有限公司,上海,15-20万/年,07-03
效果图绘图员,上海三筑建筑装饰工程有限公司,上海-浦东新区,4.5-6千/月,07-03
招商信诺诚聘招商银行销售精英+国内外旅游,招商信诺人寿保险有限公司,上海-浦东新区,0.8-1.2万/月,07-03
电话销售 / 市场助理,上海央邦计算机科技有限公司,上海,1-1.5万/月,07-03
销售实习生（试用期4500+包住+带薪培训）,上海太平洋房屋（总部）,上海-徐汇区,6-8千/月,07-03
行政助理/前台（翰敏院古美路校区）,精锐教育,上海-闵行区,3-4.5千/月,07-03
新媒体运营助理/文案编辑/策划,上海施益支付技术有限公司,上海-徐汇区,6-8千/月,07-03
行政助理/分行秘书（就近分配+五险一金),太平洋房屋（中国总部）,上海-徐汇区,3-4.5千/月,07-03
市场营销运营专员/电商专员,上海惠希国际贸易有限公司,上海,4.5-6千/月,07-03
分布式数据库开发工程师,上海优浪信息科技有限公司,上海-长宁区,1.5-3万/月,07-03
产品总监,储信资产管理（上海）有限公司,上海-黄浦区,2.5-3万/月,07-03
销售/业务员,上海商翼商务咨询有限公司,上海-长宁区,15-20万/年,07-03
会计,上海岳凤服饰贸易有限公司,异地招聘,3-4.5千/月,07-03
出纳员,上海经纬集团图腾企业咨询有限公司,上海-黄浦区,3-4千/月,07-03
Coordinator - Project Cargo (项目物流专员),北京康捷空国际货运代理有限公司上...,上海-长宁区,6-8千/月,07-03
1号店运营助理/实习生,上海挚品互联网科技有限公司,上海,5-6千/月,07-03
管理培训生 / Management Trainee,上海贝塔斯曼商业服务有限公司,上海-徐汇区,5-7千/月,07-03
电梯机械辅助设计（应届毕业生）,宁波申菱集团上海江菱机电有限公司,上海-松江区,4-5千/月,07-03
淘宝美工,上海金乾盛五金机电有限公司,上海-黄浦区,4-6千/月,07-03
人事专员,上海店宝宝电子商务有限公司,上海-浦东新区,6-8千/月,07-03
出纳,上海瑞冠服饰有限公司,上海,4.5-5.5千/月,07-03
急招零售便利店 店员（工资5000）普陀,上海满大信息技术有限公司,上海-普陀区,4.2-5千/月,07-03
业务员,上海实创金属制品有限公司,上海-嘉定区,6-8千/月,07-03
人力运营总监（珠海）,远光软件股份有限公司上海分公司,异地招聘,0.8-1.5万/月,07-03
销售工程师，区域销售,上海动纳动力科技有限公司,上海,4.5-6千/月,07-03
市场调研专员\助理,崇盈(上海)信息技术有限公司,上海,5-6千/月,07-03
淘宝运营店长,上海优享家居有限公司,上海,8-10万/年,07-03
QC（服装质检员）,上海威妮达服饰贸易有限公司,上海-杨浦区,4.5-6千/月,07-03
美工,上海爱运体育咨询有限公司,上海-嘉定区,4.5-6千/月,07-03
PPP投资总监,上海世方建筑工程有限公司,上海-浦东新区,1.5-5万/月,07-03
营运专员,上海羿诚信息技术有限公司,上海,4.5-6千/月,07-03
销售,迈辉国际物流（上海）有限公司,上海-黄浦区,0.8-1万/月,07-03
兆瑞资本产品经理,亨瑞国际咨询集团,上海-黄浦区,1.5-2万/月,07-03
流程专员,上海乾锦创意策划咨询管理有限公司,上海-徐汇区,6-8千/月,07-03
天猫/淘宝平面视觉总监,上海鹏军贸易有限公司,上海-闵行区,0.9-1.2万/月,07-03
销售代表,上海圣界电子科技有限公司,上海-闵行区,4.5-6千/月,07-03
外贸跟单员,上海美匡供应链管理有限公司,上海-嘉定区,0.8-1万/月,07-03
Assistant C&B Manager,博马努瓦服饰商贸（上海）有限公司,上海-长宁区,1.5-2万/月,07-03
